Source Function,Target Function
"approve(address,uint256)",changeTechAccountAddress(address)
"transferFrom(address,address,uint256)",changeTechAccountAddress(address)
"lockAddress(address,uint256)",changeTechAccountAddress(address)
verifyKYC(address),changeTechAccountAddress(address)
"mint(address,uint256)",changeTechAccountAddress(address)
burn(uint256),changeTechAccountAddress(address)
lockAddressByKYC(address),changeTechAccountAddress(address)
"decreaseApproval(address,uint256)",changeTechAccountAddress(address)
"transfer(address,uint256)",changeTechAccountAddress(address)
"increaseApproval(address,uint256)",changeTechAccountAddress(address)
revertTokensByKYC(address),changeTechAccountAddress(address)
transferOwnership(address),changeTechAccountAddress(address)
changeTechAccountAddress(address),"approve(address,uint256)"
"transferFrom(address,address,uint256)","approve(address,uint256)"
"lockAddress(address,uint256)","approve(address,uint256)"
verifyKYC(address),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
lockAddressByKYC(address),"approve(address,uint256)"
"decreaseApproval(address,uint256)","approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
"increaseApproval(address,uint256)","approve(address,uint256)"
revertTokensByKYC(address),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
changeTechAccountAddress(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"lockAddress(address,uint256)","transferFrom(address,address,uint256)"
verifyKYC(address),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
lockAddressByKYC(address),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
revertTokensByKYC(address),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
changeTechAccountAddress(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"lockAddress(address,uint256)",burn(uint256)
verifyKYC(address),burn(uint256)
"mint(address,uint256)",burn(uint256)
lockAddressByKYC(address),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
revertTokensByKYC(address),burn(uint256)
transferOwnership(address),burn(uint256)
changeTechAccountAddress(address),"decreaseApproval(address,uint256)"
"approve(address,uint256)","decreaseApproval(address,uint256)"
"transferFrom(address,address,uint256)","decreaseApproval(address,uint256)"
"lockAddress(address,uint256)","decreaseApproval(address,uint256)"
verifyKYC(address),"decreaseApproval(address,uint256)"
"mint(address,uint256)","decreaseApproval(address,uint256)"
burn(uint256),"decreaseApproval(address,uint256)"
lockAddressByKYC(address),"decreaseApproval(address,uint256)"
"transfer(address,uint256)","decreaseApproval(address,uint256)"
"increaseApproval(address,uint256)","decreaseApproval(address,uint256)"
revertTokensByKYC(address),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
changeTechAccountAddress(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"lockAddress(address,uint256)","transfer(address,uint256)"
verifyKYC(address),"transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
lockAddressByKYC(address),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
revertTokensByKYC(address),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
changeTechAccountAddress(address),"increaseApproval(address,uint256)"
"approve(address,uint256)","increaseApproval(address,uint256)"
"transferFrom(address,address,uint256)","increaseApproval(address,uint256)"
"lockAddress(address,uint256)","increaseApproval(address,uint256)"
verifyKYC(address),"increaseApproval(address,uint256)"
"mint(address,uint256)","increaseApproval(address,uint256)"
burn(uint256),"increaseApproval(address,uint256)"
lockAddressByKYC(address),"increaseApproval(address,uint256)"
"decreaseApproval(address,uint256)","increaseApproval(address,uint256)"
"transfer(address,uint256)","increaseApproval(address,uint256)"
revertTokensByKYC(address),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
changeTechAccountAddress(address),transferOwnership(address)
"approve(address,uint256)",transferOwnership(address)
"transferFrom(address,address,uint256)",transferOwnership(address)
"lockAddress(address,uint256)",transferOwnership(address)
verifyKYC(address),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
burn(uint256),transferOwnership(address)
lockAddressByKYC(address),transferOwnership(address)
"decreaseApproval(address,uint256)",transferOwnership(address)
"transfer(address,uint256)",transferOwnership(address)
"increaseApproval(address,uint256)",transferOwnership(address)
revertTokensByKYC(address),transferOwnership(address)
